mode,load,0_efficientnet_b6-32,1_mobilenet_v2-32,2_mobilenet_v3_large-16
mps-uncap,0.8,425.18431301191197,1856.2285003861475,904.7473678275809
mps-uncap,0.9,484.60960917967986,2110.455755381134,1022.1351965710301
mps-uncap,1.0,508.9764259003963,2302.152038163161,1156.9505044651137
mps-uncap,0.5,261.4274751064773,1115.941612805663,575.9078420639095
mps-uncap,0.6,326.3354076301144,1341.469355598574,659.6483786582106
mps-uncap,0.7,350.34100817741927,1587.4888726273539,809.6304959506815
mps-uncap,0.1,47.04662054621289,226.10068690105487,112.09859538300836
mps-uncap,0.2,109.07944004793302,452.0941199732303,215.58937951528503
mps-uncap,0.3,145.58662593124055,716.7332002262383,340.8308144927005
mps-uncap,0.4,224.82301990081913,961.274757946114,467.0571491421847
