mode,load,0_efficientnet_b6-32,1_mobilenet_v2-32,2_mobilenet_v3_large-16
mps-uncap,0.8,64.49103355407715,22.86505699157715,21.262407302856445
mps-uncap,0.9,64.55373764038086,20.915985107421875,22.34673500061035
mps-uncap,1.0,64.85271453857422,21.054744720458984,22.25017547607422
mps-uncap,0.5,59.329986572265625,20.61319351196289,22.207021713256836
mps-uncap,0.6,61.22875213623047,19.74940299987793,22.8121280670166
mps-uncap,0.7,62.33835220336914,20.520448684692383,21.183490753173828
mps-uncap,0.1,45.569658279418945,18.450498580932617,19.464969635009766
mps-uncap,0.2,53.06100845336914,18.70441436767578,20.91813087463379
mps-uncap,0.3,55.701255798339844,19.256591796875,20.592212677001953
mps-uncap,0.4,57.152748107910156,20.14303207397461,20.834922790527344
