mode,load,0_resnet18-2,1_resnet18-4,2_resnet50-8
mps-uncap,0.8,2.3387432098388676,2.374625205993653,6.029939651489258
mps-uncap,0.9,2.4573802947998047,2.6624202728271484,5.9356689453125
mps-uncap,1.0,2.5377273559570312,2.738475799560547,6.078481674194336
mps-uncap,0.5,2.9491662979125977,2.9468536376953125,6.959700584411621
mps-uncap,0.6,2.6856422424316406,2.680325508117676,6.3201904296875
mps-uncap,0.7,2.249503135681153,2.472567558288574,5.876588821411133
mps-uncap,0.1,3.1212329864501958,3.107881546020508,7.0705413818359375
mps-uncap,0.2,3.0449867248535156,3.023386001586914,6.870222091674805
mps-uncap,0.3,3.0793190002441406,3.1228065490722656,7.111835479736328
mps-uncap,0.4,3.1127214431762695,3.1692981719970703,7.257223129272461
