mode,load,0_resnet18-2,1_resnet18-4,2_resnet50-8
mps-uncap,0.8,687.6499667728012,1343.4692353696003,1016.9935453423356
mps-uncap,0.9,782.854772222859,1542.1449479103123,1139.0972689175903
mps-uncap,1.0,865.2146107982023,1695.1827465864142,1268.2109128400996
mps-uncap,0.5,437.98126015292536,846.2065166789002,628.3133269146097
mps-uncap,0.6,521.9765887619736,1014.4349539648175,739.6540498591323
mps-uncap,0.7,609.889685611247,1205.8760291203423,897.6189874563274
mps-uncap,0.1,86.79418785576367,169.4294423961629,126.1479961921115
mps-uncap,0.2,173.47105131325614,342.8901093651092,256.8235325380048
mps-uncap,0.3,266.6407268501985,505.4525747997001,382.1492208048162
mps-uncap,0.4,353.12418003044604,707.4618864280069,509.9502196369532
