mode,load,0_densenet161-2,1_resnet152-2,2_resnet18-4
mps-uncap,0.8,0.012874603271484375,0.013113021850585938,0.011682510375976562
mps-uncap,0.9,0.013828277587890625,0.010251998901367188,0.012636184692382812
mps-uncap,1.0,0.013589859008789062,0.0152587890625,0.011920928955078125
mps-uncap,0.5,0.01239776611328125,0.012159347534179688,0.008821487426757812
mps-uncap,0.6,0.010251998901367188,0.011920928955078125,0.008821487426757812
mps-uncap,0.7,0.016689300537109375,0.012159347534179688,0.010013580322265625
mps-uncap,0.1,0.0133514404296875,0.011920928955078125,0.01239776611328125
mps-uncap,0.2,0.01049041748046875,0.011920928955078125,0.011205673217773438
mps-uncap,0.3,0.012874603271484375,0.011444091796875,0.008821487426757812
mps-uncap,0.4,0.01239776611328125,0.011682510375976562,0.009059906005859375
