mode,load,0_mobilenet_v2-2,1_mobilenet_v2-32,2_resnet152-2
mps-uncap,0.8,3.28218936920166,6.150245666503906,13.785600662231445
mps-uncap,0.9,4.393815994262695,6.255626678466797,15.161991119384766
mps-uncap,1.0,4.114627838134766,6.517291069030762,15.6097412109375
mps-uncap,0.5,4.2209625244140625,5.857586860656738,12.611150741577148
mps-uncap,0.6,3.758072853088379,5.93411922454834,11.609077453613281
mps-uncap,0.7,3.4269094467163086,6.111860275268555,12.43126392364502
mps-uncap,0.1,5.742669105529785,5.945682525634766,17.53687858581543
mps-uncap,0.2,5.59687614440918,5.916833877563477,17.668962478637695
mps-uncap,0.3,5.67018985748291,6.1664581298828125,13.671159744262695
mps-uncap,0.4,5.178213119506836,6.120443344116211,13.090252876281738
