mode,load,0_mobilenet_v2-2,1_mobilenet_v2-32,2_resnet152-2
mps-uncap,0.8,29.999399185180607,50.436720848083496,83.68029594421387
mps-uncap,0.9,65.47971725463866,121.15550756454475,152.7480411529539
mps-uncap,1.0,66.91744804382321,1231.9729638099668,856.6345787048334
mps-uncap,0.5,18.080403804779035,22.93553352355958,39.398288726806626
mps-uncap,0.6,18.102118968963634,30.17425537109378,41.18102788925166
mps-uncap,0.7,19.167406558990468,45.73499202728267,57.43061780929565
mps-uncap,0.1,11.887907981872559,11.494805812835693,34.47919845581056
mps-uncap,0.2,16.277215480804447,13.489968776702849,36.558179855346665
mps-uncap,0.3,19.59059476852417,17.38489151000976,41.585025787353516
mps-uncap,0.4,20.52287101745615,20.78043460845947,37.25154399871824
