mode,load,0_mobilenet_v2-2,1_mobilenet_v2-32,2_resnet152-2
mps-uncap,0.8,2.1677017211914062,5.50532341003418,7.332801818847656
mps-uncap,0.9,2.201557159423828,5.508899688720703,7.310628890991211
mps-uncap,1.0,2.2497177124023438,5.497455596923828,7.383823394775391
mps-uncap,0.5,2.168893814086914,5.483150482177734,7.329463958740234
mps-uncap,0.6,2.186298370361328,5.506753921508789,7.274150848388672
mps-uncap,0.7,2.1848678588867188,5.489110946655273,7.262229919433594
mps-uncap,0.1,2.2530555725097656,5.504369735717773,7.460117340087891
mps-uncap,0.2,2.189159393310547,5.511283874511719,7.468461990356445
mps-uncap,0.3,2.2776126861572266,5.49769401550293,7.342100143432617
mps-uncap,0.4,2.2170543670654297,5.488395690917969,7.245779037475586
