mode,load,0_mobilenet_v2-2,1_mobilenet_v2-32,2_resnet152-2
mps-uncap,0.8,14.505147933959961,30.008411407470707,45.58587074279785
mps-uncap,0.9,36.97524070739747,60.797810554504395,90.32731056213379
mps-uncap,1.0,37.65602111816409,1053.400206565857,727.595853805542
mps-uncap,0.5,11.042284965515137,13.769984245300293,24.64437484741211
mps-uncap,0.6,10.577011108398438,17.434120178222656,25.886988639831554
mps-uncap,0.7,10.539388656616211,22.824096679687507,31.536698341369643
mps-uncap,0.1,7.224321365356445,6.825757026672363,20.35622596740723
mps-uncap,0.2,9.854412078857427,9.260416030883789,24.458599090576183
mps-uncap,0.3,11.488771438598631,11.15255355834961,25.155162811279297
mps-uncap,0.4,11.854839324951172,12.117528915405273,24.242162704467773
