mode,load,0_mobilenet_v2-2,1_mobilenet_v2-32,2_resnet152-2
mps-uncap,0.8,0.008106231689453125,0.010013580322265625,0.010013580322265625
mps-uncap,0.9,0.008821487426757812,0.009298324584960938,0.010251998901367188
mps-uncap,1.0,0.009059906005859375,0.012159347534179688,0.011682510375976562
mps-uncap,0.5,0.009775161743164062,0.009775161743164062,0.012159347534179688
mps-uncap,0.6,0.007867813110351562,0.010251998901367188,0.010013580322265625
mps-uncap,0.7,0.008344650268554688,0.00858306884765625,0.012159347534179688
mps-uncap,0.1,0.011205673217773438,0.011682510375976562,0.0133514404296875
mps-uncap,0.2,0.010251998901367188,0.010728836059570312,0.012636184692382812
mps-uncap,0.3,0.010967254638671875,0.010728836059570312,0.012636184692382812
mps-uncap,0.4,0.00858306884765625,0.010251998901367188,0.011920928955078125
