mode,load,0_mobilenet_v2-2,1_mobilenet_v2-32,2_resnet152-2
mps-uncap,0.8,5.711829662322997,6.547064781188965,18.237364292144772
mps-uncap,0.9,5.741434097290039,6.595373153686523,18.484466075897217
mps-uncap,1.0,5.640983581542969,6.808326244354248,18.513898849487305
mps-uncap,0.5,6.531953811645508,6.457149982452393,18.658113479614258
mps-uncap,0.6,6.08004093170166,6.6698431968688965,17.896285057067868
mps-uncap,0.7,5.571167469024658,6.71839714050293,17.9651665687561
mps-uncap,0.1,6.9585442543029785,6.8743205070495605,20.687913894653324
mps-uncap,0.2,7.007348537445068,6.775317192077636,20.802707672119134
mps-uncap,0.3,7.185111045837406,7.38300323486328,20.725326538085938
mps-uncap,0.4,7.0002746582031286,6.913132667541504,20.666253566741936
