mode,load,0_mobilenet_v2-2,1_mobilenet_v2-32,2_resnet152-2
mps-uncap,0.8,364.0402204863623,3912.3184490703584,95.63743878585508
mps-uncap,0.9,429.68109254254557,4491.947471327415,111.16136472209266
mps-uncap,1.0,457.0412304254063,4876.789796473159,122.41756275609434
mps-uncap,0.5,227.58557359176478,2484.6938963881466,57.80859774712811
mps-uncap,0.6,277.08040413624116,2947.0566457677714,70.19986846847145
mps-uncap,0.7,318.67385653635836,3497.04258499033,80.86618282036473
mps-uncap,0.1,47.64076395057282,477.2062966374136,12.216153355862009
mps-uncap,0.2,92.58775736086358,1028.9738821829676,24.080602099481165
mps-uncap,0.3,139.9152873368792,1443.381149060781,37.02214020511667
mps-uncap,0.4,185.172338732189,1962.2889183191305,47.67582401116633
