mode,load,0_mobilenet_v2-2,1_mobilenet_v2-32,2_resnet152-2
mps-uncap,0.8,2.211332321166992,5.527496337890625,7.445812225341797
mps-uncap,0.9,2.2444725036621094,5.53131103515625,7.36689567565918
mps-uncap,1.0,2.2847652435302734,5.756855010986328,7.75599479675293
mps-uncap,0.5,2.2089481353759766,5.501508712768555,7.342815399169922
mps-uncap,0.6,2.2301673889160156,5.521297454833984,7.302522659301758
mps-uncap,0.7,2.2356510162353516,5.5065155029296875,7.319450378417969
mps-uncap,0.1,2.301454544067383,5.518198013305664,7.627010345458984
mps-uncap,0.2,2.246379852294922,5.529642105102539,7.574796676635742
mps-uncap,0.3,2.3136138916015625,5.514860153198242,7.443904876708984
mps-uncap,0.4,2.2690296173095703,5.509376525878906,7.436513900756836
