mode,load,0_inception_v3-8,1_resnet101-8,2_vgg13-16
mps-uncap,0.8,17.75181293487549,21.25680446624756,8.671045303344727
mps-uncap,0.9,26.79574489593506,31.126976013183594,8.919239044189453
mps-uncap,1.0,37.65225410461426,40.51995277404785,9.404420852661133
mps-uncap,0.5,12.17961311340332,13.129711151123047,8.016347885131836
mps-uncap,0.6,12.3521089553833,13.828516006469727,8.149266242980957
mps-uncap,0.7,13.469338417053223,15.658855438232422,8.339166641235352
mps-uncap,0.1,12.913942337036133,12.68303394317627,7.823705673217773
mps-uncap,0.2,12.586116790771484,12.421727180480957,7.841706275939941
mps-uncap,0.3,12.433648109436035,13.157844543457031,7.843017578125
mps-uncap,0.4,12.378931045532227,13.279438018798828,7.880806922912598
