mode,load,0_densenet201-2,1_resnet101-4,2_vgg13-2
mps-uncap,0.8,36.36276721954346,8.903026580810547,5.367517471313477
mps-uncap,0.9,80.85751533508301,83.06002616882324,1285.448431968689
mps-uncap,1.0,2902.919054031372,54.039597511291504,5471.747159957886
mps-uncap,0.5,1.4996528625488281,0.026464462280273438,0.023365020751953125
mps-uncap,0.6,8.732318878173828,2.6314258575439453,0.667572021484375
mps-uncap,0.7,17.984509468078613,6.921291351318359,2.0720958709716797
mps-uncap,0.1,0.041484832763671875,0.03981590270996094,0.02956390380859375
mps-uncap,0.2,0.03266334533691406,0.029802322387695312,0.026464462280273438
mps-uncap,0.3,0.030755996704101562,0.026226043701171875,0.026702880859375
mps-uncap,0.4,0.03170967102050781,0.025987625122070312,0.025510787963867188
