mode,load,0_efficientnet_b5-16,1_mobilenet_v3_small-32,2_vgg11-32
mps-uncap,0.8,264.9184226989748,114.64222669601418,263.44921588897705
mps-uncap,0.9,872.0190286636356,198.07363510131822,769.2635822296143
mps-uncap,1.0,431.65324211120605,876.1346626281738,7013.229734897612
mps-uncap,0.5,55.384368896484375,26.867537498474146,51.920099258422916
mps-uncap,0.6,118.10521602630615,36.51586532592774,73.9833307266236
mps-uncap,0.7,135.5243206024168,65.89794158935547,108.55290174484205
mps-uncap,0.1,10.94865798950172,8.694121837615965,14.180669784545902
mps-uncap,0.2,26.11065864562988,13.347818851470935,15.568275451660154
mps-uncap,0.3,25.29904365539548,12.316241264343228,25.2876234054565
mps-uncap,0.4,58.58146667480467,16.076121330261227,31.748013496398908
