mode,load,0_efficientnet_b5-16,1_mobilenet_v3_small-32,2_vgg11-32
mps-uncap,0.8,357.52415657043457,162.41908073425293,317.8832530975342
mps-uncap,0.9,994.722843170166,272.94301986694336,829.3600082397461
mps-uncap,1.0,511.68322563171387,958.6656093597412,7145.982503890991
mps-uncap,0.5,93.22547912597656,46.37598991394043,102.24103927612305
mps-uncap,0.6,169.10648345947266,66.34759902954102,112.39194869995117
mps-uncap,0.7,182.72686004638672,112.67232894897461,154.4482707977295
mps-uncap,0.1,34.091949462890625,13.780355453491211,17.400741577148438
mps-uncap,0.2,36.40151023864746,17.031431198120117,24.973630905151367
mps-uncap,0.3,29.14142608642578,25.84075927734375,43.29824447631836
mps-uncap,0.4,87.33391761779785,34.34395790100098,54.8248291015625
