mode,load,0_efficientnet_b5-16,1_mobilenet_v3_small-32,2_vgg11-32
mps-uncap,0.8,324.2113113403322,135.87294816970817,277.338719367981
mps-uncap,0.9,941.7151927948,214.06082868576044,782.8334140777588
mps-uncap,1.0,497.43742942810053,895.1906394958496,7029.04245853424
mps-uncap,0.5,93.03265094757083,39.86590385437013,67.50321388244629
mps-uncap,0.6,166.24564170837442,50.93089103698738,86.6268110275269
mps-uncap,0.7,187.9552841186521,85.14022827148438,122.50358581542947
mps-uncap,0.1,51.009950637817305,20.730898380279534,29.151039123535163
mps-uncap,0.2,69.96310234069823,24.352319240570047,28.624238967895508
mps-uncap,0.3,58.5523772239685,25.833678245544395,37.35560417175292
mps-uncap,0.4,103.8197612762448,28.833088874816884,44.480295181274386
