mode,load,0_efficientnet_b5-16,1_mobilenet_v3_small-32,2_vgg11-32
mps-uncap,0.8,78.49884033203125,33.75983238220215,20.5228328704834
mps-uncap,0.9,85.8314037322998,30.536890029907227,24.738550186157227
mps-uncap,1.0,81.92110061645508,32.911062240600586,21.77906036376953
mps-uncap,0.5,72.01695442199707,32.58109092712402,25.209426879882812
mps-uncap,0.6,72.62563705444336,34.12818908691406,21.292686462402344
mps-uncap,0.7,78.17339897155762,34.455299377441406,21.3925838470459
mps-uncap,0.1,47.41549491882324,23.21004867553711,22.38750457763672
mps-uncap,0.2,61.76948547363281,33.54024887084961,23.664236068725586
mps-uncap,0.3,64.41426277160645,34.07907485961914,21.49367332458496
mps-uncap,0.4,69.90575790405273,31.28361701965332,19.39702033996582
