mode,load,0_efficientnet_b5-16,1_mobilenet_v3_small-32,2_vgg11-32
mps-uncap,0.8,165.94413967962151,1219.567346902286,2023.7459096673765
mps-uncap,0.9,191.77300640952396,1401.1747882226286,2248.7986800958133
mps-uncap,1.0,199.40765599211466,1506.5064642088525,2246.128406268281
mps-uncap,0.5,101.18156660897652,761.1545395921643,1257.77769787277
mps-uncap,0.6,116.7182523391509,917.6996552917652,1466.22792448751
mps-uncap,0.7,138.26797729181482,1082.8116897260586,1724.4693209591794
mps-uncap,0.1,19.709783397749394,160.53595623078226,263.5254353537337
mps-uncap,0.2,36.25653334048548,296.28136422662374,520.4419284952243
mps-uncap,0.3,57.718415748450035,418.90096653710356,748.9586811712959
mps-uncap,0.4,79.25960800116471,583.6853887275383,1007.8361898464104
