mode,load,0_densenet121-16,1_efficientnet_b7-16,2_mobilenet_v2-4
mps-uncap,0.8,36.7431640625,50.243377685546875,15.384912490844727
mps-uncap,0.9,37.123680114746094,55.17745018005371,17.24696159362793
mps-uncap,1.0,38.58780860900879,56.60271644592285,22.829532623291016
mps-uncap,0.5,32.81688690185547,43.984174728393555,15.233755111694336
mps-uncap,0.6,31.507015228271484,52.78658866882324,16.088247299194336
mps-uncap,0.7,30.743837356567383,52.18148231506348,16.37554168701172
mps-uncap,0.1,41.66245460510254,56.62989616394043,16.974687576293945
mps-uncap,0.2,31.680822372436523,49.31807518005371,11.416435241699219
mps-uncap,0.3,30.885934829711914,43.3049201965332,13.910531997680664
mps-uncap,0.4,30.539274215698242,50.26674270629883,20.309925079345703
