mode,load,0_densenet121-16,1_efficientnet_b7-16,2_mobilenet_v2-4
mps-uncap,0.8,235.25938034057663,337.58038282394386,42.79088973999025
mps-uncap,0.9,2297.4996042251587,1243.576850891113,122.60159730911256
mps-uncap,1.0,2620.4639339447035,6350.2061557769775,5585.308837890625
mps-uncap,0.5,79.30712699890145,141.76323890686038,22.632489204406742
mps-uncap,0.6,99.81346130371091,202.46706962585432,27.661676406860423
mps-uncap,0.7,143.33783149719235,270.5031514167787,47.71405935287477
mps-uncap,0.1,40.87369918823243,66.47167444229122,19.12688493728639
mps-uncap,0.2,45.079278945922894,66.78173780441284,20.696008205413815
mps-uncap,0.3,49.501833915710456,78.29181194305413,21.60578250885009
mps-uncap,0.4,48.79909276962278,110.8078145980833,20.817332267761216
