mode,load,0_mobilenet_v2-32,1_resnet34-2,2_vgg19-32
mps-uncap,0.8,960.3176038330604,60.85814905880143,1019.9984757072322
mps-uncap,0.9,1056.6673859599107,67.66210880226772,1125.1684172535859
mps-uncap,1.0,1203.746756850057,76.02448476525217,1227.5286983051476
mps-uncap,0.5,635.5458548748841,38.34103148537182,623.209424977624
mps-uncap,0.6,709.1387818548676,44.923570717268504,740.7164269224972
mps-uncap,0.7,842.8687514747498,51.28036100113985,830.5181586383414
mps-uncap,0.1,110.40976189520389,7.161825637662732,136.11894238172198
mps-uncap,0.2,263.52918408508856,15.939276901541087,234.43887995891814
mps-uncap,0.3,340.32770529000624,23.57993980337392,362.5425290561829
mps-uncap,0.4,483.2162565716144,28.221079261537376,476.05005696089916
