mode,load,0_vgg19-4,1_squeezenet1_0-16,2_squeezenet1_1-2
mps-uncap,1.0,592.1199087053774,2407.2896584844657,562.6397220828736
mig,1.0,492.13530942976894,1519.048976671668,1160.9974703352443
