mode,load,0_vgg19-4,1_squeezenet1_0-16,2_squeezenet1_1-2
mps-uncap,1.0,0.003814697265625,0.0035762786865234375,0.0050067901611328125
mig,1.0,0.000476837158203125,0.000476837158203125,0.0069141387939453125
