mode,load,0_alexnet-4,1_squeezenet1_0-8,2_vgg13-2
mps-uncap,0.8,1856.038724726498,1625.2338714435923,475.7195287582263
mps-uncap,0.9,2076.4855106560412,1857.397615957943,550.7783007610296
mps-uncap,1.0,2117.6441253569737,1787.9667091976116,613.1419993042616
mps-uncap,0.5,1142.3824579015798,1034.4442910911737,297.7008769346249
mps-uncap,0.6,1353.1344676151248,1225.643281627206,368.7612501888932
mps-uncap,0.7,1639.8708379621996,1449.1203887327824,423.7637839495608
mps-uncap,0.1,230.76868950225378,205.97315321230323,63.11541044194881
mps-uncap,0.2,458.890182829496,425.8075494086005,124.67742288286748
mps-uncap,0.3,687.5994687879089,616.7781881016185,185.40441018846346
mps-uncap,0.4,919.0516146203518,839.985237118563,245.84131839392285
