mode,load,0_alexnet-4,1_squeezenet1_0-8,2_vgg13-2
mps-uncap,0.8,0.751495361328125,1.8656253814697266,1.7495155334472656
mps-uncap,0.9,0.7798671722412109,2.0313262939453125,1.7621517181396484
mps-uncap,1.0,0.9055137634277344,2.3393630981445312,1.7554759979248047
mps-uncap,0.5,0.7545948028564453,1.9023418426513672,1.7361640930175781
mps-uncap,0.6,0.7410049438476562,1.8415451049804688,1.7242431640625
mps-uncap,0.7,0.7395744323730469,1.8725395202636719,1.733541488647461
mps-uncap,0.1,1.041412353515625,2.4657249450683594,1.8961429595947266
mps-uncap,0.2,1.0333061218261719,2.461671829223633,1.890420913696289
mps-uncap,0.3,0.8418560028076172,2.0792484283447266,1.8908977508544922
mps-uncap,0.4,0.8294582366943359,1.9297599792480469,1.7409324645996094
