mode,load,0_alexnet-4,1_squeezenet1_0-8,2_vgg13-2
mps-uncap,0.8,1.9238471984863283,4.585504531860352,3.5013914108276367
mps-uncap,0.9,2.2258758544921875,4.785895347595215,3.460407257080078
mps-uncap,1.0,2.2788047790527344,4.889965057373047,3.4980058670043945
mps-uncap,0.5,1.8199443817138672,4.468441009521484,3.329753875732422
mps-uncap,0.6,1.80816650390625,4.405355453491211,3.31275463104248
mps-uncap,0.7,1.8719673156738286,4.553318023681641,3.4296274185180673
mps-uncap,0.1,1.655411720275879,4.547739028930665,3.1440258026123047
mps-uncap,0.2,1.6503334045410156,4.325461387634277,2.9798269271850586
mps-uncap,0.3,1.740121841430664,4.41746711730957,3.193187713623047
mps-uncap,0.4,1.8272638320922852,4.504704475402832,3.307628631591797
