mode,load,0_alexnet-4,1_squeezenet1_0-8,2_vgg13-2
mps-uncap,0.8,12.00081348419188,35.3274464607239,25.1618409156799
mps-uncap,0.9,70.15917301177984,246.4002966880798,46.91801071166993
mps-uncap,1.0,5296.660375595094,8291.143712997437,200.79942941665638
mps-uncap,0.5,5.7988739013671875,14.3876314163208,9.996871948242184
mps-uncap,0.6,6.554961204528796,16.1909294128418,11.56065940856933
mps-uncap,0.7,8.998723030090332,25.53606033325201,16.981916427612312
mps-uncap,0.1,3.004279136657715,8.418006896972654,5.624544620513911
mps-uncap,0.2,3.6156487464904847,10.788655281066887,5.610461235046388
mps-uncap,0.3,4.279251098632815,13.091716766357415,7.266035079956056
mps-uncap,0.4,5.0003767013549805,15.325920581817586,8.816061019897463
