mode,load,0_alexnet-4,1_squeezenet1_0-8,2_vgg13-2
mps-uncap,0.8,1.4252662658691406,3.771066665649414,2.9463768005371094
mps-uncap,0.9,1.7616748809814453,4.274129867553711,3.0930042266845703
mps-uncap,1.0,1.8563270568847656,4.462957382202148,3.157973289489746
mps-uncap,0.5,1.3759136199951172,3.6960840225219727,2.478361129760742
mps-uncap,0.6,1.2576580047607422,3.178119659423828,2.439260482788086
mps-uncap,0.7,1.295328140258789,3.359556198120117,2.702951431274414
mps-uncap,0.1,1.4612674713134766,4.19926643371582,2.566218376159668
mps-uncap,0.2,1.382589340209961,4.029273986816406,2.426624298095703
mps-uncap,0.3,1.4002323150634766,4.043817520141602,2.4929046630859375
mps-uncap,0.4,1.4030933380126953,4.0569305419921875,2.458333969116211
