mode,load,0_alexnet-4,1_squeezenet1_0-8,2_vgg13-2
mps-uncap,0.8,0.7309913635253906,1.8372535705566406,1.7113685607910156
mps-uncap,0.9,0.7593631744384766,1.924753189086914,1.7495155334472656
mps-uncap,1.0,0.8881092071533203,2.3238658905029297,1.7409324645996094
mps-uncap,0.5,0.7379055023193359,1.8815994262695312,1.7232894897460938
mps-uncap,0.6,0.7250308990478516,1.8291473388671875,1.6973018646240234
mps-uncap,0.7,0.7183551788330078,1.8579959869384766,1.7201900482177734
mps-uncap,0.1,1.0285377502441406,2.450227737426758,1.8825531005859375
mps-uncap,0.2,1.0216236114501953,2.446413040161133,1.8780231475830078
mps-uncap,0.3,0.8170604705810547,1.9459724426269531,1.8696784973144531
mps-uncap,0.4,0.8053779602050781,1.833200454711914,1.730203628540039
