mode,load,0_alexnet-4,1_squeezenet1_0-8,2_vgg13-2
mps-uncap,0.8,2.192258834838867,6.794095039367676,4.85384464263916
mps-uncap,0.9,11.461019515991211,53.96115779876709,9.499549865722656
mps-uncap,1.0,2737.170934677124,4154.504776000977,78.25756072998047
mps-uncap,0.5,1.6186237335205078,4.223346710205078,2.8967857360839844
mps-uncap,0.6,1.5609264373779297,4.080057144165039,3.052830696105957
mps-uncap,0.7,1.7499923706054688,4.8323869705200195,3.5974979400634766
mps-uncap,0.1,1.5132427215576172,4.256725311279297,2.6339292526245117
mps-uncap,0.2,1.4371871948242188,4.121065139770508,2.490520477294922
mps-uncap,0.3,1.48773193359375,4.191994667053223,2.6183128356933594
mps-uncap,0.4,1.5614032745361328,4.314303398132324,2.7625560760498047
