mode,load,0_efficientnet_b6-2,1_efficientnet_b6-2
mig,0.1,18.874645233154297,19.322872161865234
mig,0.2,17.812252044677734,17.80116558074951
mig,0.3,17.281055450439453,17.39788055419922
mig,0.4,17.482638359069824,17.510175704956055
mig,0.5,17.36760139465332,17.383337020874023
mig,0.6,17.45903491973877,17.46511459350586
mig,0.7,17.34018325805664,17.52161979675293
mig,0.8,17.25029945373535,17.392396926879883
mig,0.9,17.510652542114258,17.670392990112305
mig,1.0,17.22240447998047,17.322659492492676
