mode,load,0_efficientnet_b6-2,1_efficientnet_b6-2
mig,0.1,31.085128784179695,31.33909702301025
mig,0.2,20.764951705932617,20.773499011993373
mig,0.3,20.148024559020996,20.21822929382324
mig,0.4,19.858534336090088,19.85861539840698
mig,0.5,18.50834369659424,18.569469451904297
mig,0.6,18.31152200698853,18.262243270874023
mig,0.7,18.408823013305668,18.588197231292725
mig,0.8,18.116369247436523,18.326663970947266
mig,0.9,18.59543561935425,18.782038688659668
mig,1.0,18.245553970336914,18.374786376953125
