mode,load,0_mobilenet_v2-32,1_resnet50-16,2_squeezenet1_1-2
mps-uncap,0.8,14.524495601654051,16.555142402648926,7.324421405792238
mps-uncap,0.9,14.63994026184082,15.269947052001962,8.917570114135742
mps-uncap,1.0,12.134323120117188,16.094448566436764,8.294546604156492
mps-uncap,0.5,14.36990737915039,16.72863483428955,7.488903999328612
mps-uncap,0.6,15.036959648132324,16.448276042938232,6.910085678100585
mps-uncap,0.7,14.911942481994629,16.655712127685547,7.0751619338989205
mps-uncap,0.1,15.775871276855465,17.5355863571167,5.464110374450681
mps-uncap,0.2,15.096855163574217,15.899944305419922,5.621325969696046
mps-uncap,0.3,14.309682846069334,15.946831703186024,6.932237148284903
mps-uncap,0.4,14.216108322143556,16.20566844940185,7.317781448364258
