mode,load,0_mobilenet_v2-32,1_resnet50-16,2_squeezenet1_1-2
mps-uncap,0.8,2709.053936456429,1052.1102436667245,330.0840212977863
mps-uncap,0.9,2855.4760973269363,1186.366829194613,380.0421242425736
mps-uncap,1.0,2928.1426968771566,1176.9365843998658,415.21787778004335
mps-uncap,0.5,1615.6082859571884,644.9401749132609,215.94017817771896
mps-uncap,0.6,2010.1092784313248,795.7235017793629,249.93883183277057
mps-uncap,0.7,2271.5736893900103,906.2033586629423,292.8809675142045
mps-uncap,0.1,307.98790436255416,128.29934700066994,43.33560275075432
mps-uncap,0.2,672.3890868129022,256.8469416856515,85.33293130205129
mps-uncap,0.3,960.3919355086476,406.78055638620594,123.41683374721993
mps-uncap,0.4,1330.517916417904,542.7881561086342,165.2579845677702
