mode,load,0_inception_v3-2,1_squeezenet1_0-32,2_vgg16-32
mps-uncap,0.8,28.382335878500637,1089.6117144087311,1122.0753949491254
mps-uncap,0.9,34.376244744791244,1208.0283199762443,1189.2681307057333
mps-uncap,1.0,40.37087888842066,1193.6689365074494,1190.2429178366647
mps-uncap,0.5,18.334160106627834,670.8808136868453,658.4967847423125
mps-uncap,0.6,23.589524443624356,840.6931526326856,811.4468412740711
mps-uncap,0.7,26.686809724308997,943.4325033698047,975.4166255692396
mps-uncap,0.1,4.090107627000122,133.60712057012526,144.18520892938938
mps-uncap,0.2,8.208368415573492,263.39479603768393,257.7584100296775
mps-uncap,0.3,11.594803707433682,390.21849752987015,365.01124568228477
mps-uncap,0.4,14.88176668335918,550.7653144083874,542.1440711147467
