mode,load,0_inception_v3-2,1_squeezenet1_0-32,2_vgg16-32
mps-uncap,0.8,42.37818717956543,27.18186378479004,27.29649543762207
mps-uncap,0.9,42.74132251739502,27.149248123168945,27.190876007080078
mps-uncap,1.0,42.10972785949707,27.27482318878174,27.312469482421875
mps-uncap,0.5,32.11064338684083,25.97393989562988,26.28352642059326
mps-uncap,0.6,35.1806163787842,26.421642303466797,26.7056941986084
mps-uncap,0.7,48.19679260253907,26.811885833740234,27.09336280822754
mps-uncap,0.1,22.059965133666992,11.563301086425781,27.318954467773438
mps-uncap,0.2,24.40919876098633,18.19450855255127,25.00748634338379
mps-uncap,0.3,25.77054500579834,23.66867065429689,25.606155395507812
mps-uncap,0.4,31.657934188842773,24.75447654724121,25.825929641723633
