mode,load,0_inception_v3-2,1_squeezenet1_0-32,2_vgg16-32
mps-uncap,0.8,8.76164436340332,6.251335144042969,19.298553466796875
mps-uncap,0.9,9.128570556640625,6.547689437866211,19.399166107177734
mps-uncap,1.0,12.247085571289062,24.020671844482422,19.32668685913086
mps-uncap,0.5,8.616447448730469,6.263494491577148,19.058942794799805
mps-uncap,0.6,8.601188659667969,6.266593933105469,19.07062530517578
mps-uncap,0.7,8.595705032348633,6.296873092651367,18.998384475708008
mps-uncap,0.1,10.908126831054688,6.271839141845703,18.87345314025879
mps-uncap,0.2,9.787797927856445,6.261348724365234,18.875837326049805
mps-uncap,0.3,8.782625198364258,6.236791610717773,18.89348030090332
mps-uncap,0.4,8.683919906616211,6.26373291015625,18.906354904174805
