mode,load,0_mobilenet_v3_small-32,1_mobilenet_v3_small-32,2_mobilenet_v3_small-32,3_mobilenet_v3_small-32
mig,0.1,556.2490449007248,507.56214777290654,512.3226611137138,281.21202618683736
mig,0.2,1052.5846001925693,998.2480943712047,1044.6195531546516,542.5256355064764
mig,0.3,1528.6489639630547,1496.213259222195,1494.1652008235062,805.8119163012332
mig,0.4,2000.6566002080665,2045.503127663748,2000.9028195007797,1102.7814639804267
mig,0.5,2546.365930336979,2582.1502937376285,2514.739235659477,1386.9645289960313
mig,0.6,3066.6816715940517,3003.5938571977217,2952.1595350050134,1683.7256617794385
mig,0.7,3591.1352875158345,3552.5590489018773,3545.1428765172054,2004.3586969884798
mig,0.8,4051.8896580664004,4090.6517052860963,4055.097813973839,2270.3925632702585
mig,0.9,4645.813274851703,4584.193379121657,4630.998058575055,2492.4057842129446
mig,1.0,5219.309756589757,5070.375008695622,5065.347829582192,2810.7312773066474
