mode,load,0_mobilenet_v3_small-32,1_mobilenet_v3_small-32,2_mobilenet_v3_small-32,3_mobilenet_v3_small-32
mig,0.1,11.500675678253172,11.582744121551514,11.445016860961916,19.18452262878418
mig,0.2,14.485354423522947,13.909339904785158,14.16253566741943,24.664087295532205
mig,0.3,17.11346149444582,18.715319633483915,18.907794952392535,31.691637039184567
mig,0.4,20.23191452026361,22.25209712982178,21.248593330383304,38.75540733337403
mig,0.5,25.000619888305664,24.399995803833008,24.142265319824247,49.65754508972169
mig,0.6,35.69053411483764,31.859257221221903,27.94492244720458,53.58763217926029
mig,0.7,38.69028806686401,40.252065658569315,42.7656078338623,82.88876533508295
mig,0.8,68.18672180175783,61.79070472717285,68.89368057250977,97.90864944457991
mig,0.9,84.63890552520755,111.02373123168945,128.2535409927363,201.90322875976557
mig,1.0,395.2582073211673,310.0993728637694,600.7067322731018,535.3270053863523
