mode,load,0_mobilenet_v3_small-32,1_mobilenet_v3_small-32,2_mobilenet_v3_small-32,3_mobilenet_v3_small-32
mig,0.1,6.43162727355957,6.460785865783691,6.422853469848633,10.970211029052734
mig,0.2,6.281852722167969,6.386947631835938,6.332254409790039,11.115169525146484
mig,0.3,6.461548805236816,6.468439102172852,6.569099426269532,11.274147033691406
mig,0.4,6.47425651550293,6.497478485107422,6.513667106628418,11.363792419433594
mig,0.5,6.350088119506836,6.423711776733398,6.4684391021728525,11.427021026611328
mig,0.6,6.394028663635254,6.486678123474121,6.498908996582031,11.473369598388672
mig,0.7,6.4830780029296875,6.563663482666016,6.56435489654541,11.551618576049805
mig,0.8,6.525325775146484,6.600618362426758,6.628727912902832,11.574745178222656
mig,0.9,6.535053253173828,6.649351119995117,6.6394805908203125,11.578583717346191
mig,1.0,6.630229949951171,6.693887710571289,6.721568107604981,11.590957641601562
