mode,load,0_densenet201-16,1_densenet201-16,2_densenet201-16,3_densenet201-16
mig,0.1,36.39864921569824,35.14575958251953,57.47580528259277,67.21615791320801
mig,0.2,54.743051528930664,104.79736328125,69.610595703125,239.32266235351562
mig,0.3,112.19334602355957,109.16876792907715,129.3179988861084,145.5972194671631
mig,0.4,182.70421028137207,125.37455558776855,130.54323196411133,204.01787757873535
mig,0.5,138.75555992126465,198.10247421264648,134.70458984375,200.11234283447266
mig,0.6,204.09059524536133,302.5965690612793,186.20872497558594,420.48120498657227
mig,0.7,221.0383415222168,391.10875129699707,330.2631378173828,441.3113594055176
mig,0.8,557.2021007537842,358.65259170532227,496.0906505584717,1703.4406661987305
mig,0.9,1654.0405750274658,569.4146156311035,764.4145488739014,1038.9997959136963
mig,1.0,1591.087818145752,2693.6395168304443,2215.8827781677246,2277.6739597320557
