mode,load,0_efficientnet_b6-8,1_efficientnet_b6-8,2_efficientnet_b6-8,3_efficientnet_b6-8
mig,0.1,24.406489958218703,25.192460256551314,22.47583363220867,11.858576983356746
mig,0.2,50.91015547719609,50.85507466319434,49.94539024876017,21.11743149054709
mig,0.3,72.54365906567249,70.46506598064231,71.74020829293148,36.66415773607306
mig,0.4,93.75690689181589,95.41257856402268,98.6728654827516,50.435048076023904
mig,0.5,118.76590078479056,120.44599257788033,118.37378681951817,62.853384541128555
mig,0.6,149.12045533649479,150.27210031998402,134.67784095661355,76.286135667461
mig,0.7,167.6588315663303,165.01982443545427,172.98205482124993,87.4112304624801
mig,0.8,194.38630811669142,185.65731486967476,194.30447987585714,88.92221200566836
mig,0.9,209.76559484380599,208.4607321656307,215.0040209506869,108.32069208006888
mig,1.0,219.54127683631734,219.4100569310488,218.24003859218277,111.73007529820656
