mode,load,0_resnet50-8,1_mobilenet_v2-16,2_resnet18-4
mps-uncap,1.0,9.443747997283937,7.324764728546143,5.4419779777526855
mig,1.0,8.979461193084719,11.80456876754761,3.4250235557556143
