mode,load,0_resnet50-8,1_mobilenet_v2-16,2_resnet18-4
mps-uncap,1.0,986.7002694744036,2480.1681657551903,1017.5173048265556
mig,1.0,1009.8054802466888,1581.0657270606753,1419.256193677116
