mode,load,0_resnet50-8,1_mobilenet_v2-16,2_resnet18-4
mps-uncap,1.0,6.36601448059082,5.505800247192383,2.3641586303710938
mig,1.0,7.557153701782227,9.547948837280273,2.624034881591797
