mode,load,0_resnet50-8,1_mobilenet_v2-16,2_resnet18-4
mps-uncap,1.0,0.000476837158203125,0.0057220458984375,0.0064373016357421875
mig,1.0,0.0050067901611328125,0.000476837158203125,0.0007152557373046875
