mode,load,0_alexnet-32,1_densenet201-8,2_efficientnet_b5-32
mps-uncap,0.8,5.617618560791016,45.93658447265625,56.908607482910156
mps-uncap,0.9,9.604692459106445,90.12436866760254,110.06569862365723
mps-uncap,1.0,127.73013114929199,200.02329349517822,189.41545486450195
mps-uncap,0.5,2.9158592224121094,23.493409156799316,35.2933406829834
mps-uncap,0.6,3.468036651611328,25.428056716918945,38.68556022644043
mps-uncap,0.7,4.0225982666015625,33.48851203918457,41.486501693725586
mps-uncap,0.1,2.3109912872314453,28.629541397094727,28.577208518981934
mps-uncap,0.2,2.302408218383789,28.602242469787598,29.690265655517578
mps-uncap,0.3,2.299070358276367,21.855831146240234,30.950069427490234
mps-uncap,0.4,2.3375749588012695,21.796226501464844,32.47559070587158
