mode,load,0_alexnet-32,1_densenet201-8,2_efficientnet_b5-32
mps-uncap,0.8,6364.977360703762,108.80651022057833,533.7834179458097
mps-uncap,0.9,7175.814140541378,126.49300251148593,624.182663371397
mps-uncap,1.0,7909.359318475907,141.39984980691935,680.4122199915586
mps-uncap,0.5,3883.1403556142386,66.23295813230692,342.2334293896472
mps-uncap,0.6,4666.527396708506,87.79461005163769,422.4213393917798
mps-uncap,0.7,5427.174405926689,92.96809910970148,455.5356535469702
mps-uncap,0.1,790.6194403363675,12.626967347198338,61.64916486826481
mps-uncap,0.2,1573.108749873509,30.596027258842216,131.5720644237836
mps-uncap,0.3,2418.95836368081,42.283482836613985,197.34874644597275
mps-uncap,0.4,3183.0718109713584,52.46382773959305,254.41423757978183
