mode,load,0_alexnet-32,1_densenet201-8,2_efficientnet_b5-32
mps-uncap,0.8,2.1736621856689453,11.797904968261719,28.70798110961914
mps-uncap,0.9,2.1698474884033203,12.222766876220703,28.32341194152832
mps-uncap,1.0,2.172231674194336,12.146472930908203,28.34630012512207
mps-uncap,0.5,2.177000045776367,11.95979118347168,27.378559112548828
mps-uncap,0.6,2.1698474884033203,12.04371452331543,27.402877807617188
mps-uncap,0.7,2.1741390228271484,11.820316314697266,27.52971649169922
mps-uncap,0.1,2.1762847900390625,12.412071228027344,27.38499641418457
mps-uncap,0.2,2.1719932556152344,12.094736099243164,27.386188507080078
mps-uncap,0.3,2.1734237670898438,12.120962142944336,27.3892879486084
mps-uncap,0.4,2.17437744140625,12.012958526611328,27.402639389038086
