mode,load,0_densenet169-32,1_densenet169-32,2_vgg13-4
mps-uncap,0.8,22.368907928466797,22.629499435424805,2.6769638061523438
mps-uncap,0.9,23.209810256958008,23.197650909423828,2.699136734008789
mps-uncap,1.0,39.14761543273926,37.58120536804199,3.441333770751953
mps-uncap,0.5,21.869182586669922,22.102832794189453,2.6493072509765625
mps-uncap,0.6,21.724224090576172,22.417306900024414,2.664804458618164
mps-uncap,0.7,22.25804328918457,23.29730987548828,2.6640892028808594
mps-uncap,0.1,21.717071533203125,23.85258674621582,2.6733875274658203
mps-uncap,0.2,21.915197372436523,21.72064781188965,2.637624740600586
mps-uncap,0.3,21.700620651245117,21.89946174621582,2.6483535766601562
mps-uncap,0.4,21.884679794311523,21.731853485107422,2.6388168334960938
