mode,load,0_densenet169-32,1_densenet169-32,2_vgg13-4
mps-uncap,0.8,140.74957370758057,96.48609161376953,14.38283920288086
mps-uncap,0.9,191.65420532226562,168.75457763671875,43.29514503479004
mps-uncap,1.0,1791.5210723876953,2606.421947479248,2732.775926589966
mps-uncap,0.5,39.72625732421875,39.520263671875,4.294633865356445
mps-uncap,0.6,44.39973831176758,45.07172107696533,5.195736885070801
mps-uncap,0.7,56.28561973571777,52.09803581237793,7.184147834777832
mps-uncap,0.1,30.57551383972168,30.589818954467773,3.0698776245117188
mps-uncap,0.2,26.610255241394043,28.8999080657959,3.002166748046875
mps-uncap,0.3,28.759479522705078,28.22589874267578,2.996087074279785
mps-uncap,0.4,29.561996459960938,31.363248825073242,3.1280517578125
