mode,load,0_mobilenet_v3_large-8,1_mobilenet_v3_small-16,2_resnet18-4
mps-uncap,0.8,25.420560836792,19.58948850631713,12.169752120971673
mps-uncap,0.9,33.17040920257569,51.35343551635735,27.707695960998585
mps-uncap,1.0,243.6738967895508,157.85276889801014,70.34893989562987
mps-uncap,0.5,18.385171890258807,14.90489959716797,10.504698753356935
mps-uncap,0.6,15.897231101989748,13.920242786407469,9.424004554748535
mps-uncap,0.7,16.466021537780765,15.96991539001465,9.094305038452156
mps-uncap,0.1,16.88294887542724,14.343233108520511,5.97856044769287
mps-uncap,0.2,21.21834754943848,18.323299884796135,7.842750549316404
mps-uncap,0.3,22.091598510742188,18.74369621276855,10.812015533447267
mps-uncap,0.4,18.434443473815918,16.74699544906613,10.707168579101568
