mode,load,0_mobilenet_v3_large-8,1_mobilenet_v3_small-16,2_resnet18-4
mps-uncap,0.8,38.283348083496094,33.019065856933594,20.95484733581543
mps-uncap,0.9,49.21841621398926,73.82082939147949,43.553829193115234
mps-uncap,1.0,280.7493209838867,200.15335083007812,81.70366287231445
mps-uncap,0.5,34.13891792297363,26.06344223022461,18.948078155517578
mps-uncap,0.6,30.983924865722656,22.736549377441406,17.802953720092773
mps-uncap,0.7,26.30329132080078,25.559425354003906,16.898632049560547
mps-uncap,0.1,22.303104400634766,23.832082748413086,9.685039520263672
mps-uncap,0.2,26.903629302978516,28.16152572631836,12.575387954711914
mps-uncap,0.3,38.625240325927734,32.01413154602051,16.04294776916504
mps-uncap,0.4,32.015085220336914,24.795055389404297,16.96157455444336
