mode,load,0_mobilenet_v3_large-8,1_mobilenet_v3_small-16,2_resnet18-4
mps-uncap,0.8,2.7196407318115234,2.3069381713867188,1.1124610900878906
mps-uncap,0.9,2.8247833251953125,2.3431777954101562,1.123666763305664
mps-uncap,1.0,2.7866363525390625,2.4156570434570312,1.1141300201416016
mps-uncap,0.5,2.79998779296875,2.336740493774414,1.1243820190429688
mps-uncap,0.6,2.7980804443359375,2.3145675659179688,1.1243820190429688
mps-uncap,0.7,2.7625560760498047,2.310037612915039,1.1157989501953125
mps-uncap,0.1,2.8467178344726562,2.3508071899414062,1.1334419250488281
mps-uncap,0.2,2.8340816497802734,2.3589134216308594,1.1138916015625
mps-uncap,0.3,2.7496814727783203,2.3200511932373047,1.1227130889892578
mps-uncap,0.4,2.8014183044433594,2.3555755615234375,1.1131763458251953
