mode,load,0_mobilenet_v3_large-8,1_mobilenet_v3_small-16,2_resnet18-4
mps-uncap,0.8,1803.5338767313049,4436.068843374754,1536.2057007200522
mps-uncap,0.9,1998.3719991836592,5022.533668667921,1785.4980254142795
mps-uncap,1.0,2285.2069689361692,5432.119172478815,1929.0989362725468
mps-uncap,0.5,1106.5919629843218,2746.6493855660083,961.4351733330972
mps-uncap,0.6,1344.9518915634487,3311.0182088948886,1130.8477116406368
mps-uncap,0.7,1550.0773547794474,3812.7633567978405,1354.7782282918138
mps-uncap,0.1,222.86753713721603,537.3524622724865,192.73801814105013
mps-uncap,0.2,448.00563470456484,1105.5239144855389,386.351320538719
mps-uncap,0.3,662.5235504997643,1650.6534373805193,600.7792626632901
mps-uncap,0.4,897.9270286272118,2162.3108914333734,761.7684522588528
