mode,load,0_mobilenet_v3_large-8,1_mobilenet_v3_small-16,2_resnet18-4
mps-uncap,0.8,3.952507972717285,3.0378556251525874,2.3536491394042964
mps-uncap,0.9,3.4950661659240727,3.2444000244140625,2.4478197097778325
mps-uncap,1.0,3.9033889770507812,3.016912937164306,2.4940776824951167
mps-uncap,0.5,6.168532371520997,5.1564788818359375,3.023862838745117
mps-uncap,0.6,5.123546123504641,4.1510677337646475,2.7566623687744136
mps-uncap,0.7,4.706859588623047,3.7263011932373087,2.3981189727783208
mps-uncap,0.1,8.40029239654541,6.961307525634766,3.459668159484863
mps-uncap,0.2,8.17220687866211,6.859540939331055,3.503718376159668
mps-uncap,0.3,7.955598831176759,6.76156997680664,3.4194087982177734
mps-uncap,0.4,7.694182395935058,6.543600559234619,3.3234024047851567
