mode,load,0_mobilenet_v3_large-8,1_mobilenet_v3_small-16,2_resnet18-4
mps-uncap,0.8,3.0536651611328125,2.5968551635742188,1.726388931274414
mps-uncap,0.9,3.0721426010131836,2.936840057373047,1.8658638000488281
mps-uncap,1.0,3.4263134002685547,2.8333663940429688,1.9545555114746094
mps-uncap,0.5,3.1331777572631836,2.6183128356933594,1.9869804382324219
mps-uncap,0.6,3.0426979064941406,2.5756359100341797,1.8496513366699219
mps-uncap,0.7,3.0405521392822266,2.596616744995117,1.6641616821289062
mps-uncap,0.1,7.04193115234375,5.900859832763672,2.9011964797973633
mps-uncap,0.2,6.99925422668457,5.873560905456543,2.9535293579101562
mps-uncap,0.3,4.862308502197266,4.027605056762695,2.964496612548828
mps-uncap,0.4,4.662275314331055,3.957509994506836,2.648591995239258
