mode,load,0_mobilenet_v3_large-8,1_mobilenet_v3_small-16,2_resnet18-4
mps-uncap,0.8,2.7425289154052734,2.3365020751953125,1.1265277862548828
mps-uncap,0.9,2.87628173828125,2.381563186645508,1.1355876922607422
mps-uncap,1.0,2.831697463989258,2.465486526489258,1.1456012725830078
mps-uncap,0.5,2.8514862060546875,2.371549606323242,1.1448860168457031
mps-uncap,0.6,2.831697463989258,2.379179000854492,1.13677978515625
mps-uncap,0.7,2.8200149536132812,2.3615360260009766,1.1303424835205078
mps-uncap,0.1,2.8591156005859375,2.395153045654297,1.1515617370605469
mps-uncap,0.2,2.8967857360839844,2.40325927734375,1.1248588562011719
mps-uncap,0.3,2.814054489135742,2.3720264434814453,1.1372566223144531
mps-uncap,0.4,2.86102294921875,2.395153045654297,1.1374950408935547
