mode,load,0_densenet201-32,1_mobilenet_v2-32,2_resnet101-32
mps-uncap,0.8,26.601552963256836,5.4931640625,17.868995666503906
mps-uncap,0.9,26.61895751953125,5.509138107299805,17.845869064331055
mps-uncap,1.0,26.693344116210938,5.547285079956055,18.309354782104492
mps-uncap,0.5,26.556968688964844,5.517005920410156,17.81439781188965
mps-uncap,0.6,26.534080505371094,5.486726760864258,17.865419387817383
mps-uncap,0.7,26.591777801513672,5.514621734619141,17.826557159423828
mps-uncap,0.1,26.45134925842285,5.508899688720703,17.811059951782227
mps-uncap,0.2,26.437759399414062,5.517005920410156,17.876386642456055
mps-uncap,0.3,26.56078338623047,5.5027008056640625,17.791032791137695
mps-uncap,0.4,26.424169540405273,5.505561828613281,17.871379852294922
