mode,load,0_densenet201-32,1_mobilenet_v2-32,2_resnet101-32
mps-uncap,0.8,26.623964309692383,5.519390106201172,17.898082733154297
mps-uncap,0.9,26.651859283447266,5.527496337890625,17.870187759399414
mps-uncap,1.0,34.36636924743652,5.567312240600586,19.644498825073242
mps-uncap,0.5,26.635408401489258,5.543708801269531,17.846345901489258
mps-uncap,0.6,26.575326919555664,5.499839782714844,17.899513244628906
mps-uncap,0.7,26.630640029907227,5.5370330810546875,17.842531204223633
mps-uncap,0.1,26.536226272583008,5.518674850463867,17.832279205322266
mps-uncap,0.2,26.506662368774414,5.545377731323242,17.90928840637207
mps-uncap,0.3,26.594877243041992,5.534887313842773,17.819643020629883
mps-uncap,0.4,26.45730972290039,5.526065826416016,17.915010452270508
