mode,load,0_efficientnet_b5-16,1_efficientnet_b7-16,2_mobilenet_v3_small-32
mps-uncap,0.8,358.58470209223105,246.80075012459346,2782.177583910952
mps-uncap,0.9,400.14618362901007,290.2990433840389,2870.7543469060806
mps-uncap,1.0,432.03209850801824,286.40759803406496,2770.5454179736143
mps-uncap,0.5,227.5933075081697,151.6166762113352,1773.6830514922235
mps-uncap,0.6,270.5288818873534,191.4136553331633,2065.0872675766436
mps-uncap,0.7,313.26232540579156,221.89071706986513,2359.7054743680796
mps-uncap,0.1,44.5680563010473,31.57513154154704,333.90330726923617
mps-uncap,0.2,86.57177909274165,63.9636939771677,680.776575448273
mps-uncap,0.3,127.84243241039225,86.52224425786744,1054.18781570436
mps-uncap,0.4,155.75329933059004,121.44106200374365,1359.056621838499
