mode,load,0_efficientnet_b5-16,1_efficientnet_b7-16,2_mobilenet_v3_small-32
mps-uncap,0.8,0.011920928955078125,0.012636184692382812,0.009298324584960938
mps-uncap,0.9,0.012636184692382812,0.01239776611328125,0.011920928955078125
mps-uncap,1.0,0.012636184692382812,0.015735626220703125,0.016450881958007812
mps-uncap,0.5,0.011920928955078125,0.011920928955078125,0.011682510375976562
mps-uncap,0.6,0.012159347534179688,0.012159347534179688,0.009298324584960938
mps-uncap,0.7,0.011920928955078125,0.012159347534179688,0.010013580322265625
mps-uncap,0.1,0.018596649169921875,0.016689300537109375,0.013113021850585938
mps-uncap,0.2,0.012874603271484375,0.012874603271484375,0.01239776611328125
mps-uncap,0.3,0.0133514404296875,0.012636184692382812,0.011682510375976562
mps-uncap,0.4,0.011920928955078125,0.012159347534179688,0.011444091796875
